2026-01-17 23:24:05 | INFO     | root                 | Logging system initialized
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_shutdown [SYSTEM] - ['shutdown']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_restart [SYSTEM] - ['restart']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_sleep [SYSTEM] - ['sleep']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_lock [SYSTEM] - ['lock']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_screenshot [SYSTEM] - ['screenshot']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_volume_up [VOLUME] - ['up']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_volume_down [VOLUME] - ['down']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_volume_mute [VOLUME] - ['mute']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_volume_unmute [VOLUME] - ['unmute']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_volume_set [VOLUME] - ['set']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_app_open [APPLICATION] - ['open']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_app_close [APPLICATION] - ['close']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_app_list [APPLICATION] - ['list', 'running']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_time [TIME_DATE] - ['current', 'time']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_date [TIME_DATE] - ['date', 'today', 'day']
2026-01-17 23:24:05 | INFO     | core.dispatcher      | Registered skill: handle_datetime [TIME_DATE] - ['datetime', 'now']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_web_search [WEB] - ['search']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_web_open [WEB] - ['open', 'website', 'site']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_youtube [WEB] - ['youtube']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_weather [WEB] - ['weather']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_greeting [CONVERSATION] - ['greeting']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_farewell [CONVERSATION] - ['farewell']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_thanks [CONVERSATION] - ['thanks']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_how_are_you [CONVERSATION] - ['how_are_you']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_who_are_you [CONVERSATION] - ['who_are_you']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_capabilities [CONVERSATION] - ['capabilities', 'help']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_joke [CONVERSATION] - ['joke']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_stop [CONVERSATION] - ['stop', 'cancel']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_remember [MEMORY] - ['remember']
2026-01-17 23:24:06 | INFO     | core.dispatcher      | Registered skill: handle_recall [MEMORY] - ['recall', 'what_remember']
